 *************并行遗传算法率定swat参数**********************


 开始时间: 20170507 22:55:36:319   结束时间: 20170507 23:00:21:718    历时:  285s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num = 15


 best object function value(  0.8136) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7376****** 耗时:    17s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7007****** 耗时:    31s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.7013****** 耗时:    44s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.6706****** 耗时:    57s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.6610****** 耗时:    72s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.6622****** 耗时:    87s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.6533****** 耗时:   102s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.6525****** 耗时:   116s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.6494****** 耗时:   132s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.6451****** 耗时:   148s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.6435****** 耗时:   161s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.6435****** 耗时:   175s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.6407****** 耗时:   188s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.6456****** 耗时:   203s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.6488****** 耗时:   217s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.6488****** 耗时:   231s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.6485****** 耗时:   243s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.6467****** 耗时:   258s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.6438****** 耗时:   272s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.6437****** 耗时:   285s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170507 23:00:22:186   结束时间: 20170507 23:05:08:303    历时:  286s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num =  4


 best object function value(  0.7376) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7863****** 耗时:    16s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7301****** 耗时:    31s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.6788****** 耗时:    45s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.6795****** 耗时:    55s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.6806****** 耗时:    61s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.6684****** 耗时:    67s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.6690****** 耗时:    73s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.6698****** 耗时:    79s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.6736****** 耗时:    85s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.6766****** 耗时:    92s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.6733****** 耗时:    97s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.6736****** 耗时:   103s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.6752****** 耗时:   109s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.6758****** 耗时:   115s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.6733****** 耗时:   121s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.6722****** 耗时:   126s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.6700****** 耗时:   132s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.6694****** 耗时:   138s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.6675****** 耗时:   144s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.6685****** 耗时:   150s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170507 23:05:08:822   结束时间: 20170507 23:07:38:252    历时:  150s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num =  9


 best object function value(  0.7863) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7722****** 耗时:     6s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7242****** 耗时:    12s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.6979****** 耗时:    18s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.6874****** 耗时:    24s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.6878****** 耗时:    30s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.6854****** 耗时:    36s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.6859****** 耗时:    42s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.6712****** 耗时:    48s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.6667****** 耗时:    53s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.6696****** 耗时:    59s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.6689****** 耗时:    65s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.6627****** 耗时:    70s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.6585****** 耗时:    76s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.6578****** 耗时:    82s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.6536****** 耗时:    88s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.6555****** 耗时:    94s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.6575****** 耗时:   100s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.6559****** 耗时:   106s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.6567****** 耗时:   112s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.6567****** 耗时:   117s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170507 23:07:38:399   结束时间: 20170507 23:09:36:082    历时:  118s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num = 16


 best object function value(  0.7722) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7776****** 耗时:     5s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.6927****** 耗时:    11s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.6869****** 耗时:    17s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.6727****** 耗时:    23s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.6736****** 耗时:    28s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.6646****** 耗时:    35s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.6609****** 耗时:    40s*****************************************
